INDEX_1,INDEX_2,TEAM,ROLE,E,A,D,DMG,H,MIT
43,7,2,TANK,30,7,9,13102,0,11816
43,8,2,DAMAGE,38,2,11,10624,0,2647
43,9,2,SUPPORT,13,35,7,4936,12774,776
43,10,2,DAMAGE,31,5,18,11313,1233,0
44,1,1,TANK,12,7,5,6159,0,7911
44,2,1,DAMAGE,13,3,1,7967,0,0
44,3,1,DAMAGE,16,0,5,7958,966,930
44,4,1,SUPPORT,8,11,8,2760,4594,410
44,5,1,SUPPORT,7,18,3,1356,9457,0
44,6,2,SUPPORT,5,5,5,934,5947,1184
44,7,2,DAMAGE,14,2,3,6442,2475,0
44,8,2,DAMAGE,15,6,5,6082,321,1773
44,9,2,SUPPORT,4,9,3,1736,7841,1153
44,10,2,TANK,17,7,4,7867,0,6352
45,1,1,TANK,18,5,8,9645,0,12285
45,2,1,DAMAGE,19,1,7,7323,0,0
45,3,1,DAMAGE,13,1,13,6868,0,501
45,4,1,SUPPORT,1,17,8,572,12478,374
45,5,1,SUPPORT,7,11,9,3582,8648,1602
45,6,2,DAMAGE,24,3,3,10611,1905,0
45,7,2,TANK,33,10,5,9404,0,16082
45,8,2,DAMAGE,30,1,7,10530,0,2477
45,9,2,SUPPORT,10,25,5,1659,10157,266
45,10,2,SUPPORT,7,13,5,4111,6273,196
46,1,1,TANK,16,6,12,8941,0,14347
46,2,1,DAMAGE,13,2,6,7137,8,2706
46,3,1,DAMAGE,17,0,16,6780,77,1810
46,4,1,SUPPORT,8,7,11,3134,9542,6714
46,5,1,SUPPORT,6,11,5,1388,6019,166
46,6,2,SUPPORT,31,23,5,6951,6422,366
46,7,2,SUPPORT,10,23,5,1220,12382,714
46,8,2,DAMAGE,28,4,8,7864,0,1295
46,9,2,TANK,43,10,4,17612,0,8679
46,10,2,DAMAGE,11,5,7,3985,308,27
47,1,1,TANK,2,0,5,3828,35,6380
47,2,1,DAMAGE,4,2,1,3653,0,112
47,3,1,DAMAGE,3,0,8,3319,0,1509
47,4,1,SUPPORT,0,2,5,243,4232,0
47,5,1,SUPPORT,1,3,5,575,5729,191
47,6,2,SUPPORT,4,4,0,1846,3317,0
47,7,2,TANK,10,4,1,4755,0,5932
47,8,2,SUPPORT,3,7,0,490,5204,0
47,9,2,DAMAGE,11,2,2,6182,393,108
47,10,2,DAMAGE,15,1,3,5814,0,0
48,1,1,TANK,18,5,10,10467,0,17146
48,2,1,DAMAGE,16,3,9,9029,650,3525
48,3,1,DAMAGE,14,5,8,7451,20,3677
