INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT
53,1,DAMAGE,36,0,5,9860,0,1417
53,1,SUPPORT,21,23,11,4096,7658,405
53,1,SUPPORT,17,32,8,4631,8997,3093
53,2,DAMAGE,28,0,14,10590,0,2985
53,2,TANK,18,7,12,8122,0,7417
53,2,DAMAGE,21,1,12,8113,756,56
53,2,SUPPORT,8,17,9,2548,10580,1212
53,2,SUPPORT,13,15,14,5175,8684,511
54,1,TANK,29,8,9,17416,0,13015
54,1,DAMAGE,27,8,4,10362,13,5855
54,1,DAMAGE,28,2,10,14175,751,35
54,1,SUPPORT,15,18,7,3951,11031,1271
54,1,SUPPORT,0,30,7,270,12404,0
54,2,SUPPORT,10,18,8,2908,13200,504
54,2,DAMAGE,17,0,8,9743,0,2462
54,2,SUPPORT,12,21,9,3833,11832,0
54,2,TANK,24,9,12,9779,4204,3808
54,2,DAMAGE,21,3,10,12334,0,460
55,1,TANK,27,3,3,15126,0,32521
55,1,DAMAGE,23,10,3,12968,46,7042
55,1,DAMAGE,27,2,12,14409,1122,621
55,1,SUPPORT,14,25,3,5519,16943,3374
55,1,SUPPORT,15,25,6,7044,13565,2756
55,2,DAMAGE,15,0,11,12063,318,248
55,2,SUPPORT,8,9,7,2587,14987,1326
55,2,TANK,9,1,7,13385,0,15892
55,2,DAMAGE,18,6,9,13402,921,0
55,2,SUPPORT,7,9,11,5151,15587,0
56,1,TANK,12,8,1,7698,1911,1633
56,1,DAMAGE,13,4,1,6129,0,1807
56,1,DAMAGE,11,0,8,7672,1137,0
56,1,SUPPORT,4,9,3,924,8086,311
56,1,SUPPORT,6,6,1,1474,6433,610
56,2,SUPPORT,3,4,3,1458,7184,202
56,2,SUPPORT,1,5,4,1312,6878,0
56,2,TANK,5,0,6,8689,849,5808
56,2,DAMAGE,8,2,4,6330,57,600
56,2,DAMAGE,8,2,3,5564,284,0
57,1,TANK,11,3,7,7038,0,11367
57,1,DAMAGE,22,0,5,7687,0,1164
57,1,DAMAGE,18,2,2,8790,0,1642
57,1,SUPPORT,14,16,4,3833,6193,574
57,1,SUPPORT,21,6,4,7472,9161,0
57,2,DAMAGE,9,1,10,6067,467,1442
57,2,DAMAGE,9,1,6,7160,0,952
57,2,SUPPORT,7,14,5,1091,12194,0
57,2,TANK,12,1,9,8470,92,8266
57,2,SUPPORT,8,10,7,2344,8633,582
58,1,TANK,23,6,6,11105,0,6993
58,1,DAMAGE,20,6,4,9280,102,2236
58,1,DAMAGE,28,1,8,11342,1054,0
58,1,SUPPORT,1,28,6,20,9726,0
58,1,SUPPORT,18,24,6,3730,9687,902
