Battletag,Eliminations,Deaths,Assists,Damage,Healing,Mitigated,Result
shy,29,4,0,10907,0,0,Victory
Mew,20,4,14,3492,6569,3226,Victory
Mmonk,15,5,17,2295,12117,0,Victory
HanBin,22,4,11,8939,554,28088,Victory
Proper,20,9,0,12976,215,2278,Victory
Stalk3r,22,6,0,14569,0,0,Victory
ChiYo,15,4,20,6354,15749,0,Victory
Fielder,17,8,25,7613,12815,5277,Victory
LiGe,23,6,15,10214,709,21244,Defeat
Leave,20,7,0,10766,182,1604,Defeat
shy,25,8,0,13022,0,0,Defeat
Mew,19,8,23,7708,12674,6257,Defeat
Mmonk,18,4,21,4278,18775,0,Defeat
HanBin,16,8,9,8819,4472,4269,Victory
Proper,17,7,0,7647,0,18,Victory
Stalk3r,19,7,0,9259,0,0,Victory
ChiYo,7,7,14,4194,6727,2216,Victory
Fielder,12,6,18,5118,9396,0,Victory
Guxue,28,4,8,11234,0,12440,Defeat
Leave,26,3,0,9536,0,0,Defeat
shy,23,8,0,10444,0,0,Defeat
Mew,17,4,16,3677,8359,2028,Defeat
Mmonk,16,3,24,4527,12783,0,Defeat
JunBin,22,2,2,8840,479,11734,Victory
HeeSang,22,0,9,9395,0,100,Victory
LIP,18,3,0,6131,6,0,Victory
CH0R0NG,16,1,20,2554,8351,0,Victory
shu,15,2,15,4086,6578,881,Victory
Vestola,5,6,2,7033,487,7181,Defeat
JaeWoo,6,6,1,5243,0,700,Defeat
sHockWave,5,7,0,7000,0,40,Defeat
FiXa,2,6,6,2305,5186,3624,Defeat
Galaa,5,6,4,1841,7773,0,Defeat
MAX,31,5,6,15435,353,21991,Victory
HeeSang,26,6,7,14908,1954,8502,Victory
LIP,27,7,0,15088,0,0,Victory
CH0R0NG,28,3,22,5593,21162,0,Victory
shu,15,8,19,6290,12782,1824,Victory
Vestola,15,11,4,16302,785,24331,Defeat
JaeWoo,19,10,8,12434,2395,7458,Defeat
sHockWave,20,8,0,13532,0,0,Defeat
FiXa,16,10,16,6564,15280,1570,Defeat
Galaa,9,9,7,8124,11436,822,Defeat
MAX,25,7,4,14266,600,16390,Defeat
HeeSang,18,14,3,12923,1678,5402,Defeat
LIP,16,6,0,13350,0,0,Defeat
CH0R0NG,16,8,17,6569,6862,2755,Defeat
shu,10,8,25,5830,17722,717,Defeat
Vestola,24,7,5,16932,87,21305,Victory
JaeWoo,24,8,8,10052,1567,6372,Victory
sHockWave,25,6,3,14778,0,0,Victory
FiXa,19,7,22,5437,9079,4615,Victory
Galaa,17,5,18,7074,15125,1140,Victory
JunBin,17,0,3,3405,0,2895,Victory
HeeSang,18,1,1,5132,0,0,Victory
LIP,20,0,0,4125,0,0,Victory
CH0R0NG,16,0,21,1780,2731,1252,Victory
shu,8,0,15,975,4706,0,Victory
Vestola,1,4,1,2308,123,2591,Defeat
JaeWoo,0,5,0,2168,0,0,Defeat
sHockWave,0,5,0,2247,0,50,Defeat
FiXa,1,5,1,1008,2594,1238,Defeat
Galaa,1,5,0,1065,3383,0,Defeat
Guxue,25,1,1,8585,338,11921,Victory
Leave,26,0,0,6149,0,0,Victory
shy,19,3,0,7383,0,0,Victory
Mew,19,2,12,3708,5947,1315,Victory
Mmonk,13,1,25,3552,9324,0,Victory
Kellan,2,6,1,7685,267,10226,Defeat
seeker,3,8,0,5833,0,0,Defeat
sugarfree,6,7,0,5080,0,0,Defeat
Bliss,2,5,2,3106,4058,1073,Defeat
cjay,1,8,3,2800,7559,404,Defeat
LiGe,20,0,8,3988,0,7881,Victory
Leave,19,1,0,4641,72,843,Victory
shy,13,2,3,6607,0,0,Victory
Mew,13,0,16,2095,5146,2395,Victory
Mmonk,10,2,13,1198,5474,0,Victory
Kellan,2,5,0,4301,0,3786,Defeat
seeker,1,4,0,3858,3,0,Defeat
sugarfree,3,7,0,3708,33,949,Defeat
Bliss,1,6,3,1899,3271,2644,Defeat
cjay,2,4,2,1798,4021,0,Defeat
LiGe,23,5,16,9526,0,18439,Defeat
Leave,14,7,4,13452,89,0,Defeat
shy,24,6,0,13159,0,0,Defeat
Mew,16,3,16,5570,11195,4752,Defeat
Mmonk,14,5,24,4273,18425,0,Defeat
Kellan,15,5,5,14686,442,18331,Victory
seeker,14,6,0,10039,0,0,Victory
sugarfree,18,5,11,10732,1203,5307,Victory
Bliss,9,8,21,4508,10204,6460,Victory
cjay,14,4,14,4846,18917,0,Victory
Guxue,22,3,4,11782,1130,12315,Victory
Leave,17,2,0,5606,0,0,Victory
shy,6,9,0,7418,0,0,Victory
Mew,12,4,12,3909,7491,2118,Victory
Mmonk,10,4,18,3565,11378,0,Victory
Kellan,18,5,3,12007,808,11773,Defeat
seeker,14,7,0,7600,0,0,Defeat
sugarfree,17,2,0,6040,0,0,Defeat
Bliss,9,4,15,3470,6298,2140,Defeat
cjay,6,6,16,3631,10346,0,Defeat
JunBin,15,3,4,5449,0,3306,Victory
HeeSang,10,1,4,8035,0,0,Victory
LIP,17,1,2,9535,0,0,Victory
CH0R0NG,9,2,19,3466,3909,2181,Victory
shu,12,1,7,3666,4326,131,Victory
Guxue,5,6,4,5260,43,7490,Defeat
Leave,7,5,2,4131,1901,75,Defeat
