INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
74,1,SUPPORT,8,29,4,1984,10137,0,VICTORY
74,1,SUPPORT,13,23,5,2823,6376,156,VICTORY
74,2,TANK,15,5,5,11921,0,14802,DEFEAT
74,2,DAMAGE,12,5,11,5470,58,0,DEFEAT
74,2,DAMAGE,17,0,10,7899,0,516,DEFEAT
74,2,SUPPORT,6,10,9,1206,9711,0,DEFEAT
74,2,SUPPORT,7,13,10,1445,8170,1007,DEFEAT
75,1,TANK,20,3,4,8982,0,17573,VICTORY
75,1,DAMAGE,23,0,1,5968,0,0,VICTORY
75,1,DAMAGE,17,0,8,8261,475,493,VICTORY
75,1,SUPPORT,10,17,5,2891,7956,649,VICTORY
75,1,SUPPORT,17,27,2,4259,7996,2398,VICTORY
75,2,TANK,11,1,7,6404,0,9234,DEFEAT
75,2,DAMAGE,6,0,9,6783,735,0,DEFEAT
75,2,DAMAGE,13,0,8,5972,0,282,DEFEAT
75,2,SUPPORT,7,4,8,3844,7848,501,DEFEAT
75,2,SUPPORT,6,5,8,2802,9607,249,DEFEAT
76,1,TANK,19,3,5,7890,3414,2765,VICTORY
76,1,DAMAGE,11,0,4,6458,0,1740,VICTORY
76,1,DAMAGE,20,0,6,9441,0,0,VICTORY
76,1,SUPPORT,2,14,7,994,11467,0,VICTORY
